repo,branch,worktree,pre_copilot_sha,current_head_sha,copilot_commit_sha,status,build_result,test_result,conflicts,src_has_skin_surface,src_has_reflector_volumes,constants_changed,pushed,recommended_next_action
ej200,feat/endtop-sslg4,/mnt/d/SHiP/ej200,c6e7843,f39b84c,f39b84c,GOOD_BUT_NEEDS_FULL_VALIDATION,NOT_ATTEMPTED,NOT_ATTEMPTED,NONE_IN_COMMITTED,YES,NO,NO,NO,"git restore --staged -- include/DetectorConstruction.hh src/DetectorConstruction.cc tests/check_endtop_balance.py tests/readout_config_check.cc && git restore -- include/DetectorConstruction.hh src/DetectorConstruction.cc tests/check_endtop_balance.py tests/readout_config_check.cc ; then build and run full ctest"
ej200,feat/endtop-sslg4,/tmp/ship-reflector-skin-fix/ej200/feat_endtop-sslg4,c6e7843,f39b84c,f39b84c,CLEAN_GOOD_COMMIT,BUILD_OK,7/7_PASS,NONE,YES,NO,NO,NO,SAFE_TO_KEEP — reference copy; no action needed
ej200,feat/endtop-sslg4,/tmp/ship-reflector-skin-fix/ej200/feat_endtop_sslg4,c6e7843,f39b84c,f39b84c,CLEAN_GOOD_COMMIT,BUILD_OK,7/7_PASS,NONE,YES,NO,NO,NO,SAFE_TO_KEEP — duplicate clean worktree; no action needed
ej200,feat/ej230-sslg4,/tmp/ship-reflector-skin-fix/ej200/feat_ej230-sslg4,79e701d,264d263,264d263,CLEAN_GOOD_COMMIT,BUILD_OK,ALL_PASS,NONE,YES,NO,NO,NO,SAFE_TO_KEEP — build and full ctest still recommended before pushing
ej200,exp/pair-scan-2026-06-11,/tmp/ship-reflector-skin-fix/ej200/exp_pair-scan-2026-06-11,021d5f4,c7a627e,c7a627e,CLEAN_GOOD_COMMIT,BUILD_OK,ALL_PASS,NONE,YES,NO,NO,NO,SAFE_TO_KEEP — build and full ctest still recommended before pushing
ej200,feat/ej204-event-display-tracks,/mnt/d/SHiP/ej200_event_display,c93502b,b2718c4,b2718c4,GOOD_BUT_NEEDS_FULL_VALIDATION,NOT_ATTEMPTED,NOT_ATTEMPTED,NONE_IN_COMMITTED,YES,NO,NO,NO,"First inspect unstaged RunAction.cc changes; then git restore --staged + git restore DetectorConstruction.hh/.cc tests/ ; build and full ctest"
ej200,feat/ej204-event-display-tracks,/tmp/ship-reflector-skin-fix/ej200/feat_ej204-event-display-tracks,c93502b,b2718c4,b2718c4,CLEAN_GOOD_COMMIT,BUILD_OK,ALL_PASS,NONE,YES,NO,NO,NO,SAFE_TO_KEEP — reference copy; no action needed
ej200,feat/endonly-mylar,/mnt/d/SHiP/ej200_endonly,7347db6,5f778ca,5f778ca,COMMITTED_BUT_BROKEN,BUILD_FAIL,FAIL,YES_IN_include_hh,NO,YES,NO,NO,"REVERT bad cherry-pick commit; restore to 7347db6; apply correct branch-specific fix preserving SetTopSurface/SetMylarReflectivity/SetMylarSigmaAlpha/fMylarReflectivity APIs; attach existing reflector surface as G4LogicalSkinSurface on barLV using branch params; full ctest"
ej200,feat/endonly-mylar,/tmp/ship-reflector-skin-fix/ej200/feat_endonly-mylar,7347db6,5f778ca,5f778ca,COMMITTED_BUT_BROKEN,BUILD_FAIL,FAIL,YES_IN_include_hh,NO,YES,NO,NO,REVERT — same bad commit as permanent worktree; has .bak files with partial Copilot SkinSurface attempt
ej200,diag/photon-budget,/tmp/ship-reflector-skin-fix/ej200/diag_photon-budget,2dbe63a,180a9ec,180a9ec,COMMITTED_BUT_BROKEN,BUILD_OK,1_FAIL(physics_baseline),NONE_IN_SRC,NO_IN_SRC,YES,NO,NO,"REVERT to 2dbe63a; apply correct fix for this branch's API (TopSiPMCenterX signature differs from feat/endtop-sslg4); do not cherry-pick from feat/endtop; apply targeted skin-surface change only"
ej200,backup/photon-budget-worktree,/tmp/ej200-wrap-diag-worktree,81e242d,2db2f4f,2db2f4f,COMMITTED_BUT_BROKEN,BUILD_FAIL,FAIL,YES_IN_include_and_tests,NO,YES,NO,NO,SKIP_ARCHIVAL_BRANCH — branch is archival/backup; revert bad commit at convenience; do not waste effort
ej200,backup/photon-budget-worktree,/tmp/ship-reflector-skin-fix/ej200/backup_photon-budget-worktree,81e242d,2db2f4f,2db2f4f,COMMITTED_BUT_BROKEN,BUILD_FAIL,FAIL,YES_IN_include_and_tests,NO,YES,NO,NO,SKIP_ARCHIVAL_BRANCH — same as above
